product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason
FB000037,Bottoms,Banana Republic,Fall,XXL,Green,97.06,47.8,50.67,06-08-2025,31,4.1,FALSE,
FB000038,Dresses,Banana Republic,Summer,L,White,110.09,0,110.09,06-08-2025,32,3.4,FALSE,
FB000039,Shoes,Zara,Winter,XS,Green,198.42,14.2,170.24,06-08-2025,10,,FALSE,
FB000040,Bottoms,Banana Republic,Winter,,Purple,101.72,0,101.72,06-08-2025,40,,FALSE,
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0,117.86,06-08-2025,6,,FALSE,
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0,78.86,06-08-2025,22,4.3,FALSE,
FB000043,Outerwear,Zara,Winter,XS,Navy,216.16,51.4,105.05,06-08-2025,36,4,FALSE,
FB000044,Shoes,Zara,Spring,XL,Pink,129.85,0,129.85,25-04-2025,36,3.3,FALSE,
FB000045,Tops,Banana Republic,Winter,XXL,Green,111.3,0,111.3,06-08-2025,11,1.7,FALSE,
FB000046,Dresses,Uniqlo,Summer,XL,Brown,73.65,0,73.65,06-08-2025,33,3.6,FALSE,
FB000047,Shoes,Mango,Summer,L,Pink,147.13,30.3,102.55,06-08-2025,13,4.4,FALSE,
FB000048,Accessories,Ann Taylor,Winter,,Green,44.6,53.9,20.56,06-08-2025,42,2.4,FALSE,
FB000049,Bottoms,Forever21,Summer,XL,White,101.8,0,101.8,06-08-2025,7,2.8,FALSE,
FB000050,Accessories,Banana Republic,Summer,,Brown,16.52,55.9,7.29,06-08-2025,43,,FALSE,
FB000051,Bottoms,H&M,Fall,M,Beige,50.91,0,50.91,06-08-2025,3,1.8,FALSE,
FB000052,Outerwear,Forever21,Spring,S,White,222.26,0,222.26,03-05-2025,50,4.5,FALSE,
FB000053,Shoes,Gap,Summer,S,Navy,104.14,57.1,44.68,06-08-2025,14,1.8,FALSE,
FB000054,Outerwear,Zara,Spring,S,White,166.76,0,166.76,12-06-2025,21,4.2,FALSE,
FB000055,Accessories,Banana Republic,Fall,,Black,44.13,50.9,21.67,06-08-2025,21,3,FALSE,
FB000056,Outerwear,Gap,Summer,S,Green,121.29,15.2,102.85,06-08-2025,42,,FALSE,
FB000057,Tops,H&M,Spring,S,Beige,73.71,0,73.71,10-07-2025,35,3.9,TRUE,Quality Issue
FB000058,Bottoms,Zara,Spring,XL,Brown,84.07,26.3,61.96,25-10-2024,19,2.3,TRUE,Size Issue
FB000059,Tops,Mango,Summer,XS,Black,28.59,0,28.59,06-08-2025,39,1.4,FALSE,
FB000060,Shoes,Mango,Winter,XXL,Blue,166.49,2.6,162.16,06-08-2025,27,,FALSE,
FB000061,Shoes,Ann Taylor,Summer,M,White,145.95,6.6,136.32,06-08-2025,15,4,FALSE,
FB000062,Outerwear,Gap,Fall,M,Purple,218.42,0,218.42,06-08-2025,33,4.4,TRUE,Changed Mind
FB000063,Accessories,Forever21,Winter,,White,46.17,1.1,45.66,06-08-2025,30,1.9,FALSE,
FB000064,Shoes,H&M,Summer,,Green,106.18,18,87.07,06-08-2025,11,4.5,FALSE,
FB000065,Tops,Zara,Winter,XS,Gray,93.33,2.4,91.09,06-08-2025,20,4.2,FALSE,
FB000066,Bottoms,Mango,Spring,XS,White,86.54,21.7,67.76,01-06-2025,21,3.6,TRUE,Changed Mind
FB000067,Accessories,Ann Taylor,Summer,,Green,55.57,0,55.57,06-08-2025,44,3.8,FALSE,
FB000068,Tops,Forever21,Spring,XL,Black,76.5,0,76.5,26-01-2025,17,4.6,FALSE,
FB000069,Dresses,Forever21,Spring,XS,Green,137.19,9.5,124.16,01-04-2025,17,,FALSE,
FB000070,Tops,Zara,Summer,XL,Purple,48.92,19.8,39.23,06-08-2025,17,2.6,FALSE,
FB000071,Shoes,Ann Taylor,Winter,XL,White,69.82,0,69.82,06-08-2025,46,,TRUE,Wrong Item
FB000072,Outerwear,Mango,Summer,XXL,Red,199.39,7.4,184.64,06-08-2025,49,,FALSE,
FB000073,Outerwear,Banana Republic,Summer,M,White,222.09,55.2,99.5,06-08-2025,21,4.5,FALSE,
FB000074,Tops,Mango,Fall,XS,Red,112.86,0,112.86,06-08-2025,8,2.9,FALSE,
FB000075,Dresses,Mango,Spring,XS,Green,100.96,0,100.96,10-05-2025,32,3.3,FALSE,
FB000076,Outerwear,Gap,Spring,XL,Green,243.56,48,126.65,14-10-2024,22,4.4,TRUE,Changed Mind
FB000077,Dresses,Mango,Spring,XXL,Red,153.32,0,153.32,13-09-2024,43,2.9,FALSE,
FB000078,Accessories,Uniqlo,Fall,,Purple,42.95,22.5,33.29,06-08-2025,7,1.9,TRUE,Size Issue
FB000079,Tops,H&M,Summer,S,Green,30.79,0,30.79,06-08-2025,36,3.4,FALSE,
FB000080,Accessories,Uniqlo,Fall,,Brown,59.85,0,59.85,06-08-2025,38,4,FALSE,
FB000081,Tops,Banana Republic,Spring,S,Navy,78.16,19.1,63.23,25-07-2025,23,,FALSE,
FB000082,Tops,Ann Taylor,Fall,M,White,113.17,19.1,91.55,06-08-2025,15,4.9,FALSE,
FB000083,Dresses,Ann Taylor,Winter,S,Blue,174.13,0,174.13,06-08-2025,34,3.7,FALSE,
FB000084,Shoes,Zara,Summer,XS,Purple,191.96,0,191.96,06-08-2025,50,,FALSE,
FB000085,Outerwear,Ann Taylor,Spring,XL,Beige,222.55,22.6,172.25,10-02-2025,50,,FALSE,
FB000086,Bottoms,Forever21,Winter,XS,Black,37.85,11.9,33.35,06-08-2025,45,3.4,TRUE,Changed Mind
FB000087,Outerwear,Uniqlo,Summer,M,Gray,241.09,0,241.09,06-08-2025,26,,FALSE,
FB000088,Dresses,Banana Republic,Spring,S,Navy,136.97,0,136.97,25-10-2024,17,4.4,TRUE,Quality Issue
FB000089,Shoes,H&M,Spring,M,Blue,113.79,55.3,50.86,29-12-2024,47,4.1,FALSE,
FB000090,Bottoms,H&M,Summer,XXL,White,93.23,40,55.94,06-08-2025,46,1.9,FALSE,
FB000091,Shoes,Uniqlo,Spring,S,Navy,106.24,6.4,99.44,09-09-2024,50,1.5,FALSE,
FB000092,Accessories,Zara,Winter,,Brown,30.95,0,30.95,06-08-2025,27,3.1,TRUE,Changed Mind
FB000093,Shoes,Zara,Summer,S,Black,76.92,49.5,38.84,06-08-2025,7,1.1,FALSE,
FB000094,Bottoms,H&M,Fall,XS,Beige,80.64,0,80.64,06-08-2025,26,,FALSE,
FB000095,Bottoms,Zara,Fall,XS,Beige,32.46,52.4,15.45,06-08-2025,14,3.9,FALSE,
FB000096,Accessories,Gap,Summer,,Black,54.79,0,54.79,06-08-2025,12,4.5,FALSE,
FB000097,Bottoms,H&M,Winter,M,Pink,71.14,56.4,31.02,06-08-2025,12,3.4,FALSE,
FB000098,Bottoms,Ann Taylor,Summer,XXL,Navy,57.85,0,57.85,06-08-2025,36,3.5,FALSE,
FB000099,Bottoms,Zara,Summer,XS,Green,33.37,3,32.37,06-08-2025,40,1.3,FALSE,
FB000100,Tops,Gap,Summer,L,Black,91.83,0,91.83,06-08-2025,39,4.9,FALSE,
FB000101,Bottoms,Zara,Fall,L,White,60.12,19.5,48.4,06-08-2025,42,1,FALSE,
FB000102,Dresses,Banana Republic,Winter,S,White,163.5,0,163.5,06-08-2025,34,4.9,FALSE,
FB000103,Dresses,Uniqlo,Spring,S,Beige,126.37,0,126.37,08-11-2024,25,1.8,FALSE,
FB000104,Bottoms,Uniqlo,Winter,L,Navy,50.01,58.2,20.9,06-08-2025,32,4.8,FALSE,
FB000105,Shoes,H&M,Winter,S,Red,84.31,0,84.31,06-08-2025,10,3.9,FALSE,
FB000106,Bottoms,Banana Republic,Spring,XL,Beige,100.98,0,100.98,17-06-2025,21,2.8,FALSE,
FB000107,Bottoms,Banana Republic,Summer,M,Beige,38.02,0,38.02,06-08-2025,44,4.7,FALSE,
FB000108,Bottoms,H&M,Fall,XL,Blue,63.85,0,63.85,06-08-2025,41,,FALSE,
FB000109,Shoes,H&M,Fall,XS,Navy,183.15,0,183.15,06-08-2025,23,4.1,FALSE,
FB000110,Dresses,Zara,Winter,S,Gray,91,59.5,36.86,06-08-2025,5,3.9,FALSE,
FB000111,Outerwear,Uniqlo,Spring,L,Black,92.83,0,92.83,20-07-2025,9,1.2,FALSE,
FB000112,Accessories,Banana Republic,Winter,,Brown,34.45,0,34.45,06-08-2025,4,4.5,FALSE,
FB000113,Dresses,H&M,Fall,S,Purple,128.15,50,64.08,06-08-2025,28,3.2,FALSE,
FB000114,Tops,Mango,Summer,XXL,Red,99.62,33.8,65.95,06-08-2025,27,2.1,FALSE,
FB000115,Bottoms,Forever21,Winter,S,Pink,87.39,25.5,65.11,06-08-2025,8,2.3,FALSE,
FB000116,Tops,Zara,Spring,XXL,Brown,49.67,0,49.67,06-09-2024,37,2.3,FALSE,
FB000117,Accessories,Uniqlo,Fall,,Brown,72.04,0,72.04,06-08-2025,48,,TRUE,Wrong Item
FB000118,Dresses,Zara,Spring,M,Navy,133.82,0,133.82,25-11-2024,12,1.7,FALSE,
FB000119,Bottoms,Uniqlo,Winter,S,Black,62.93,0,62.93,06-08-2025,49,,FALSE,
FB000120,Outerwear,Zara,Spring,L,Red,248.58,0,248.58,04-07-2025,27,1.5,FALSE,
FB000121,Shoes,Uniqlo,Fall,XXL,Navy,61.08,0,61.08,06-08-2025,27,,TRUE,Changed Mind
FB000122,Bottoms,Gap,Winter,S,Red,109.12,0,109.12,06-08-2025,34,,FALSE,
FB000123,Outerwear,Zara,Winter,XXL,Purple,82.91,45.9,44.85,06-08-2025,24,,TRUE,Quality Issue
FB000124,Shoes,H&M,Summer,XS,Purple,113.53,10.9,101.16,06-08-2025,40,2.8,FALSE,
FB000125,Accessories,Uniqlo,Winter,,Brown,38.89,51.5,18.86,06-08-2025,28,4.3,FALSE,
FB000126,Dresses,Gap,Spring,XXL,Black,53.01,45.9,28.68,14-01-2025,37,3.7,FALSE,
FB000127,Shoes,Ann Taylor,Spring,XXL,Blue,81.64,0,81.64,06-12-2024,50,1.1,FALSE,
FB000128,Shoes,Ann Taylor,Spring,XXL,White,125.24,21.5,98.31,06-09-2024,7,2.9,FALSE,
FB000129,Outerwear,Ann Taylor,Spring,XS,Pink,98.61,0,98.61,05-03-2025,1,2.6,FALSE,
FB000130,Shoes,Gap,Fall,XS,Blue,77.54,0,77.54,06-08-2025,36,3.4,FALSE,
FB000131,Dresses,Banana Republic,Spring,XL,Purple,79.13,0,79.13,16-11-2024,11,3.6,FALSE,
FB000132,Bottoms,Mango,Spring,S,Green,96.11,0,96.11,12-04-2025,13,4.2,FALSE,
FB000133,Tops,Mango,Spring,XL,White,116.61,0,116.61,04-11-2024,31,,FALSE,
FB000134,Accessories,Ann Taylor,Winter,,Blue,57.8,27,42.19,06-08-2025,9,1.8,FALSE,
FB000135,Tops,H&M,Spring,S,White,110.78,0,110.78,13-01-2025,9,1.4,FALSE,
FB000136,Tops,Gap,Spring,L,Black,112.63,0,112.63,14-10-2024,50,3.6,TRUE,Quality Issue
FB000137,Tops,H&M,Summer,XS,Purple,89.36,0,89.36,06-08-2025,24,4.3,TRUE,Damaged
FB000138,Outerwear,Forever21,Fall,M,Pink,127.99,0,127.99,06-08-2025,16,,FALSE,
FB000139,Bottoms,Zara,Winter,XXL,Beige,54.88,58.8,22.61,06-08-2025,50,3.5,FALSE,
FB000140,Shoes,Uniqlo,Spring,L,White,154.13,0,154.13,01-10-2024,31,4.1,TRUE,Size Issue
FB000141,Dresses,Ann Taylor,Spring,XS,Gray,131.5,0,131.5,03-11-2024,5,,FALSE,
FB000142,Outerwear,Gap,Summer,M,Blue,133.26,0,133.26,06-08-2025,29,1.3,FALSE,
FB000143,Shoes,Forever21,Winter,XL,Red,173.91,0,173.91,06-08-2025,21,,FALSE,
FB000144,Tops,H&M,Spring,L,Beige,102.99,0,102.99,16-07-2025,41,3.9,FALSE,
FB000145,Outerwear,Zara,Spring,L,Beige,87.78,45.3,48.02,17-02-2025,34,1.8,FALSE,
FB000146,Tops,Uniqlo,Winter,,Beige,91.8,15.8,77.3,06-08-2025,30,4.2,FALSE,
FB000147,Tops,Zara,Winter,L,White,107.32,25.4,80.06,06-08-2025,50,4.4,FALSE,
FB000148,Bottoms,Banana Republic,Spring,XXL,Brown,67.69,57.3,28.9,24-07-2025,50,4.6,FALSE,
FB000149,Tops,Ann Taylor,Summer,M,Beige,68.11,46,36.78,06-08-2025,3,2.5,FALSE,
FB000150,Shoes,Banana Republic,Spring,L,Blue,94.29,0,94.29,15-09-2024,18,1.7,FALSE,
FB000151,Tops,Ann Taylor,Winter,XL,Gray,94.97,0,94.97,06-08-2025,46,4.3,FALSE,
FB000152,Shoes,Banana Republic,Winter,M,Navy,65.87,11.4,58.36,06-08-2025,15,3.9,FALSE,
FB000153,Dresses,Zara,Winter,XXL,Blue,155.06,29.4,109.47,06-08-2025,5,3.6,FALSE,
FB000154,Outerwear,Zara,Winter,L,Brown,172.59,0,172.59,06-08-2025,1,2.1,FALSE,
FB000155,Dresses,H&M,Summer,M,Blue,68.72,0,68.72,06-08-2025,28,1.7,TRUE,Quality Issue
FB000156,Tops,Banana Republic,Spring,XL,Blue,28.78,0,28.78,03-10-2024,21,,FALSE,
FB000157,Outerwear,H&M,Winter,XXL,Black,110.32,28.3,79.1,06-08-2025,49,3.3,FALSE,
FB000158,Shoes,Mango,Summer,XXL,Black,194.24,0,194.24,06-08-2025,17,1.2,TRUE,Changed Mind
FB000159,Shoes,Gap,Fall,XS,Beige,175.91,0,175.91,06-08-2025,4,2.8,FALSE,
FB000160,Bottoms,Mango,Winter,XXL,Gray,79.34,0,79.34,06-08-2025,30,4.4,FALSE,
FB000161,Bottoms,H&M,Summer,M,Green,111.88,0,111.88,06-08-2025,41,4.5,FALSE,
FB000162,Accessories,Gap,Spring,,Navy,42.84,40.6,25.45,12-09-2024,18,2.6,FALSE,
FB000163,Bottoms,Gap,Spring,XXL,Navy,26.28,1.1,25.99,20-06-2025,35,5,FALSE,
FB000164,Accessories,H&M,Spring,,Green,23.11,0,23.11,17-09-2024,2,1.4,FALSE,
FB000165,Shoes,Zara,Winter,M,White,168.36,0,168.36,06-08-2025,47,,TRUE,Damaged
FB000166,Shoes,Gap,Fall,XL,Green,99.26,0,99.26,06-08-2025,33,,TRUE,Quality Issue
FB000167,Accessories,Mango,Spring,,Black,53.66,0,53.66,19-12-2024,40,2.8,FALSE,
FB000168,Accessories,Ann Taylor,Summer,,Gray,69.71,18,57.16,06-08-2025,34,4.2,TRUE,Color Mismatch
FB000169,Dresses,Forever21,Fall,XXL,Gray,60.3,21.4,47.4,06-08-2025,4,3.6,FALSE,
FB000170,Shoes,Banana Republic,Winter,XXL,Red,113.58,0,113.58,06-08-2025,33,4.9,TRUE,Wrong Item
FB000171,Bottoms,Ann Taylor,Fall,XS,Brown,54.86,1.7,53.93,06-08-2025,40,2.5,FALSE,
FB000172,Tops,Zara,Winter,XS,Red,92.25,0,92.25,06-08-2025,13,2.8,TRUE,Damaged
FB000173,Accessories,Ann Taylor,Winter,,White,54.07,0,54.07,06-08-2025,47,4.6,FALSE,
FB000174,Shoes,Banana Republic,Winter,XL,Red,104.4,0,104.4,06-08-2025,41,3.4,FALSE,
FB000175,Dresses,Ann Taylor,Spring,M,Gray,45.97,0,45.97,28-08-2024,37,3.2,TRUE,Quality Issue
FB000176,Tops,Ann Taylor,Summer,XXL,Black,28.79,0,28.79,06-08-2025,4,4.4,FALSE,
FB000177,Outerwear,Uniqlo,Winter,M,Gray,204.21,0,204.21,06-08-2025,5,3.3,FALSE,
FB000178,Shoes,Mango,Fall,XXL,Pink,190.75,20,152.6,06-08-2025,47,,FALSE,
FB000179,Tops,Forever21,Winter,XS,Brown,33.01,39.2,20.07,06-08-2025,16,3.7,FALSE,
FB000180,Accessories,Banana Republic,Spring,,Blue,47.61,39.8,28.66,03-12-2024,18,1.3,FALSE,
FB000181,Outerwear,H&M,Spring,XS,Red,137.16,0,137.16,26-09-2024,34,3.2,FALSE,
FB000182,Tops,Gap,Fall,M,Navy,108.49,0,108.49,06-08-2025,7,3.3,FALSE,
FB000183,Tops,Banana Republic,Winter,XL,Green,106.49,0,106.49,06-08-2025,23,4,FALSE,
FB000184,Tops,Mango,Winter,XXL,Pink,114.86,0,114.86,06-08-2025,48,1.1,FALSE,
FB000185,Dresses,Zara,Fall,L,Blue,121.68,0,121.68,06-08-2025,9,1.5,FALSE,
FB000186,Bottoms,Zara,Summer,XXL,Black,74.08,3.9,71.19,06-08-2025,37,1.7,FALSE,
FB000187,Tops,Gap,Fall,M,Blue,92.37,35.9,59.21,06-08-2025,20,,FALSE,
FB000188,Tops,Uniqlo,Summer,XXL,Beige,34.06,0,34.06,06-08-2025,39,4.5,FALSE,
FB000189,Dresses,Zara,Summer,L,Pink,173.42,0,173.42,06-08-2025,47,4.2,FALSE,
FB000190,Bottoms,Uniqlo,Spring,XXL,Brown,66.51,0,66.51,04-10-2024,32,2.1,FALSE,
FB000191,Bottoms,Uniqlo,Fall,XXL,Blue,72.44,7.1,67.3,06-08-2025,10,1.8,FALSE,
FB000192,Tops,Ann Taylor,Fall,S,Black,81.2,0,81.2,06-08-2025,3,1.5,FALSE,
FB000193,Outerwear,Gap,Summer,XXL,Red,104.5,12.3,91.65,06-08-2025,42,,FALSE,
FB000194,Dresses,Gap,Winter,XL,Pink,57.53,13,50.05,06-08-2025,12,4.1,FALSE,
FB000195,Shoes,Banana Republic,Summer,XXL,Gray,142.58,0,142.58,06-08-2025,25,4.8,TRUE,Quality Issue
FB000196,Dresses,Zara,Fall,XXL,Green,162.23,29.4,114.53,06-08-2025,41,4,TRUE,Quality Issue
FB000197,Bottoms,Ann Taylor,Spring,XXL,Red,32.1,51.7,15.5,23-11-2024,27,,FALSE,
FB000198,Shoes,Uniqlo,Fall,L,Black,162.41,42.7,93.06,06-08-2025,22,4.8,FALSE,
FB000199,Tops,Banana Republic,Fall,M,Gray,77.46,57.5,32.92,06-08-2025,23,4,FALSE,
FB000200,Tops,H&M,Fall,XXL,Blue,103.42,56.1,45.4,06-08-2025,4,4.7,FALSE,
FB000201,Bottoms,Zara,Spring,XS,Green,42.91,33.3,28.62,23-11-2024,18,,FALSE,
FB000202,Shoes,Zara,Summer,XL,Green,144.92,17,120.28,06-08-2025,32,2,FALSE,
FB000203,Shoes,Banana Republic,Summer,XS,Black,93.07,23.9,70.83,06-08-2025,10,3.5,TRUE,Changed Mind
FB000204,Outerwear,H&M,Summer,S,Red,119.96,0,119.96,06-08-2025,20,1.1,FALSE,
FB000205,Accessories,Forever21,Summer,,Gray,42.04,50.9,20.64,06-08-2025,43,2.3,TRUE,Wrong Item
FB000206,Accessories,Banana Republic,Winter,,Red,54.45,0,54.45,06-08-2025,12,2.7,FALSE,
FB000207,Tops,Mango,Spring,M,Green,66.95,36.4,42.58,28-09-2024,44,1.9,TRUE,Quality Issue
FB000208,Tops,Ann Taylor,Spring,XL,Beige,116.96,8.8,106.67,29-04-2025,33,1.6,FALSE,
FB000209,Tops,Forever21,Fall,XXL,Pink,111.14,0,111.14,06-08-2025,49,1.6,FALSE,
FB000210,Tops,Banana Republic,Fall,XS,Blue,59.6,0,59.6,06-08-2025,40,2.1,FALSE,
FB000211,Tops,Ann Taylor,Spring,S,Gray,25.49,16.7,21.23,23-05-2025,32,,FALSE,
FB000212,Tops,Zara,Spring,M,Black,82.94,0,82.94,17-07-2025,46,1.5,FALSE,
FB000213,Tops,Uniqlo,Spring,L,Blue,99.71,0,99.71,21-08-2024,23,1.4,FALSE,
FB000214,Accessories,Banana Republic,Fall,,Black,69.74,0,69.74,06-08-2025,11,3.3,TRUE,Changed Mind
FB000215,Bottoms,H&M,Summer,XXL,Green,57.19,0,57.19,06-08-2025,12,2.5,FALSE,
FB000216,Tops,H&M,Summer,XXL,Red,58.65,0,58.65,06-08-2025,4,1.1,FALSE,
FB000217,Outerwear,Uniqlo,Fall,XL,Pink,110.22,0,110.22,06-08-2025,4,1.6,FALSE,
FB000218,Tops,Zara,Summer,XXL,Pink,69.36,0,69.36,06-08-2025,25,,FALSE,
FB000219,Bottoms,Zara,Winter,S,Black,87.03,0,87.03,06-08-2025,39,4.3,FALSE,
FB000220,Dresses,Zara,Winter,XXL,Brown,160.6,18.4,131.05,06-08-2025,41,3,FALSE,
FB000221,Outerwear,H&M,Spring,XS,Purple,167.02,0,167.02,30-01-2025,26,2.6,TRUE,Size Issue
FB000222,Tops,Zara,Summer,XXL,Gray,26.09,0,26.09,06-08-2025,32,4.6,TRUE,Damaged
FB000223,Outerwear,H&M,Summer,XL,Brown,246.65,0,246.65,06-08-2025,17,2.9,TRUE,Damaged
FB000224,Outerwear,Forever21,Summer,S,Red,206.91,0,206.91,06-08-2025,34,2.3,FALSE,
FB000225,Dresses,Gap,Winter,XL,Black,85.08,0,85.08,06-08-2025,29,,FALSE,
FB000226,Outerwear,Forever21,Spring,XXL,White,240.32,54.8,108.62,27-12-2024,3,4.5,FALSE,
FB000227,Dresses,Uniqlo,Fall,XXL,Red,130.12,1.4,128.3,06-08-2025,0,5,FALSE,
FB000228,Bottoms,H&M,Spring,XS,Black,42.29,15.8,35.61,02-11-2024,11,1.6,FALSE,
FB000229,Outerwear,H&M,Spring,S,Beige,191.54,0,191.54,10-10-2024,18,1.2,FALSE,
FB000230,Accessories,Ann Taylor,Spring,,Beige,42.23,0,42.23,14-07-2025,15,,FALSE,
FB000231,Shoes,H&M,Summer,S,Gray,109.76,0,109.76,06-08-2025,16,4.3,FALSE,
FB000232,Accessories,Mango,Summer,,Red,76.8,43.3,43.55,06-08-2025,24,,FALSE,
FB000233,Dresses,Forever21,Winter,,Black,56.34,22.4,43.72,06-08-2025,37,2.5,TRUE,Wrong Item
FB000234,Tops,Gap,Fall,,Beige,88.41,0,88.41,06-08-2025,24,4.4,FALSE,
FB000235,Tops,Gap,Spring,S,Black,25.96,0,25.96,04-10-2024,2,1.4,FALSE,
FB000236,Bottoms,Zara,Spring,XXL,Red,60.25,0,60.25,16-08-2024,25,4.1,FALSE,
FB000237,Accessories,H&M,Fall,,Red,52.33,19.1,42.33,06-08-2025,4,,FALSE,
FB000238,Accessories,Mango,Fall,,White,67.61,0,67.61,06-08-2025,14,1.8,FALSE,
FB000239,Shoes,Forever21,Spring,L,Brown,136,0,136,01-08-2025,46,4.5,FALSE,
FB000240,Shoes,Zara,Fall,,Brown,74.48,0,74.48,06-08-2025,24,3.7,FALSE,
FB000241,Dresses,Forever21,Fall,XS,Pink,101.39,0,101.39,06-08-2025,33,2.4,TRUE,Size Issue
FB000242,Dresses,Forever21,Fall,XXL,Green,169.68,41.7,98.92,06-08-2025,43,4.6,FALSE,
FB000243,Accessories,Forever21,Winter,,Purple,52.45,0,52.45,06-08-2025,34,2.1,FALSE,
FB000244,Shoes,Uniqlo,Summer,XXL,Pink,153.85,47.6,80.62,06-08-2025,12,3.1,FALSE,
FB000245,Bottoms,Mango,Fall,M,Brown,32.7,50.5,16.19,06-08-2025,46,1.3,FALSE,
FB000246,Outerwear,Uniqlo,Fall,L,Navy,104.27,54.6,47.34,06-08-2025,42,4.2,FALSE,
FB000247,Dresses,Forever21,Summer,M,Gray,80.04,50.9,39.3,06-08-2025,45,,FALSE,
FB000248,Bottoms,Banana Republic,Spring,M,Black,72.07,0,72.07,08-05-2025,20,,TRUE,Color Mismatch
FB000249,Outerwear,Zara,Fall,M,Green,220.99,0,220.99,06-08-2025,42,3.6,FALSE,
FB000250,Outerwear,Uniqlo,Fall,XS,Black,117.36,14.6,100.23,06-08-2025,33,,TRUE,Size Issue
